OrderID,OrderDate,CustomerID,CustomerName,Segment,ProductID,ProductName,Category,Sub-Category,Quantity,UnitPrice,Discount,Profit,Sales,Country,City,State,Region
CA-2024-100000,2022-04-12,CUS-1097,Heidi Stein,Consumer,PROD-015,Key Bookcases,Furniture,Bookcases,4,697.71,0.05,315.43,2651.3,Germany,Berlin,Berlin,EMEA
CA-2023-100001,2023-10-27,CUS-1390,Philip Robinson,Consumer,PROD-021,Billion Phones,Technology,Phones,6,118.9,0.1,117.63,642.06,United States,Los Angeles,California,West
CA-2023-100002,2022-05-05,CUS-1424,Mrs. Mary Perry,Home Office,PROD-037,Care Tables,Furniture,Tables,1,51.2,0.05,6.38,48.64,India,Mumbai,Maharashtra,APAC
CA-2022-100003,2023-03-10,CUS-1341,Julie Ashley,Home Office,PROD-036,National Monitors,Technology,Monitors,3,626.3,0.05,130.9,1784.95,United States,Los Angeles,California,West
CA-2024-100004,2024-07-24,CUS-1164,Christopher Miller,Corporate,PROD-037,Care Tables,Furniture,Tables,2,701.66,0.1,74.41,1262.99,United States,Los Angeles,California,West
CA-2022-100005,2024-12-20,CUS-1087,Erica Oconnor,Consumer,PROD-004,Should Accessories,Technology,Accessories,4,775.24,0.12,305.9,2728.84,India,Mumbai,Maharashtra,APAC
CA-2022-100006,2024-05-28,CUS-1082,Richard Mendoza,Corporate,PROD-039,Off Tables,Furniture,Tables,3,14.04,0.0,4.22,42.12,Germany,Berlin,Berlin,EMEA
CA-2022-100007,2023-11-15,CUS-1151,Ebony Webster,Corporate,PROD-036,National Monitors,Technology,Monitors,5,468.85,0.05,464.55,2227.04,South Africa,Cape Town,Western Cape,MEA
CA-2024-100008,2024-05-04,CUS-1270,Gwendolyn Hodge,Home Office,PROD-025,Fact Accessories,Technology,Accessories,8,185.45,0.12,282.23,1305.57,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100009,2022-03-27,CUS-1315,Ashley Frey,Consumer,PROD-027,Old Envelopes,Office Supplies,Envelopes,5,176.88,0.05,72.39,840.18,United States,New York,New York,East
CA-2023-100010,2024-12-18,CUS-1139,Dylan Murphy,Consumer,PROD-020,Close Monitors,Technology,Monitors,1,382.56,0.1,22.59,344.3,Germany,Berlin,Berlin,EMEA
